"hX","hT","hx","ht","a","b","c","nX","nT","sd","iter","time"
0.0434897559477515,0.0330577849847603,0.0439776850923829,0.0346839037783838,2.45,3.25,1.66089525213465,1597,1751,0.736588314641267,5,88.2623541355133
0.157627662531341,0.0114626643345782,0.134261109530217,0.0134162125481157,0.3,4.3,0.059023592621088,1779,869,0.121300445171073,5,114.093429088593
0.0262092516104056,0.0871444249813096,0.0282517516472622,0.0853205520309964,3.2,0.95,0.602578992955387,1558,796,0.453801410505548,5,75.4603109359741
0.0345861547873306,0.0268774770802629,0.0356493561842891,0.0280709999445464,2.95,3.8,0.816585044842213,1797,1941,0.709476644638926,4,99.2312479019165
0.42120827078487,0.0633117295419598,0.132960171309491,0.079725777680029,0.05,3.35,1.59165857918561,695,1799,0.830733708571643,11,199.746407985687
0.0264124158268508,0.132701715417185,0.0288453041240397,0.115933495016604,3.5,0.6,1.22311399970204,726,1029,0.458268991671503,5,35.0507199764252
0.0142275365655276,0.0110292578842343,0.0175907468913582,0.0139591076589848,3.4,4.4,1.36915454966947,1093,1471,0.039418260101229,5,29.7341351509094
0.0286899124344725,0.0425484809686229,0.0305754043342525,0.0445727467713028,4.6,3.1,0.617592103779316,746,1099,0.667853098828346,4,30.1753940582275
0.0277965407134018,0.0627987225685084,0.0292938926512616,0.0619776755065755,3.55,1.55,0.726012875791639,1958,1976,0.963704811641946,11,287.87882399559
0.0364647480994851,0.0233165320735833,0.0372333395584833,0.0251532361913228,2.65,4.15,0.304038768168539,1231,1901,0.545940787298605,5,61.5161290168762
0.0253281802752812,0.0833824901850966,0.0270259917743317,0.0811317987472354,3.25,0.95,1.10912483604625,1122,1751,0.475605779327452,5,60.6467850208282
0.0757036961247416,0.0522413688784801,0.0754576757850037,0.0541125103556644,2.15,3.15,1.60326913092285,517,640,0.981080767698586,6,37.1411859989166
0.0652830149917694,0.084921893457046,0.0660464917687408,0.0802508032915138,1.85,1.35,1.93784215906635,519,1362,0.88630548142828,4,29.1370859146118
0.0140559116401994,0.0991140969736737,0.0150532062336436,0.0951070697183336,4.95,0.5,1.88423776580021,1218,888,0.151309070875868,5,65.1255300045013
0.0264831273871377,0.132595579125848,0.0288240048756696,0.116792460967192,3.15,0.5,1.3216362609528,696,1451,0.384550628950819,5,55.5519089698792
