"hX","hT","hx","ht","a","b","c","nX","nT","sd","iter","time"
0.0434897559477515,0.0330577849847603,0.0443152477113464,0.0346955325904521,2.45,3.25,1.66089525213465,1597,1751,0.736588314641267,5,714.988829135895
0.157627662531341,0.0114626643345782,0.147688979739093,0.0128670266675092,0.3,4.3,0.059023592621088,1779,869,0.121300445171073,4,315.214174985886
0.0262092516104056,0.0871444249813096,0.0281243935260819,0.0863328149692747,3.2,0.95,0.602578992955387,1558,796,0.453801410505548,5,215.403771877289
0.0345861547873306,0.0268774770802629,0.0359177705287292,0.0279472013051371,2.95,3.8,0.816585044842213,1797,1941,0.709476644638926,4,801.742061138153
0.42120827078487,0.0633117295419598,0.149413737419517,0.0807074829761068,0.05,3.35,1.59165857918561,695,1799,0.830733708571643,5,293.485986948013
0.0264124158268508,0.132701715417185,0.0283445670569176,0.124241713895075,3.5,0.6,1.22311399970204,726,1029,0.458268991671503,5,106.953178882599
0.0142275365655276,0.0110292578842343,0.0153756986575768,0.0121124157152768,3.4,4.4,1.36915454966947,1093,1471,0.039418260101229,4,213.693217039108
0.0286899124344725,0.0425484809686229,0.030586279470734,0.0448301919387685,4.6,3.1,0.617592103779316,746,1099,0.667853098828346,4,88.362340927124
0.0277965407134018,0.0627987225685084,0.0292662444341319,0.0626642601445193,3.55,1.55,0.726012875791639,1958,1976,0.963704811641946,5,1139.49684906006
0.0364647480994851,0.0233165320735833,0.0371618257280082,0.025288497499149,2.65,4.15,0.304038768168539,1231,1901,0.545940787298605,6,586.020457029343
0.0253281802752812,0.0833824901850966,0.0268673157410992,0.0833459381240717,3.25,0.95,1.10912483604625,1122,1751,0.475605779327452,11,984.05887389183
0.0757036961247416,0.0522413688784801,0.0754576757850037,0.0541125103556644,2.15,3.15,1.60326913092285,517,640,0.981080767698586,6,36.1839730739594
0.0652830149917694,0.084921893457046,0.065895673133233,0.0818271417777124,1.85,1.35,1.93784215906635,519,1362,0.88630548142828,5,112.517060041428
